,Ticker 1,Ticker 2,t value,p value,c value,Hedge Ratio,Zero Crossings
1326,FXSUSDT,SCRTUSDT,-3.93,0.01,-3.37,7.53,3
1329,FXSUSDT,SXPUSDT,-3.55,0.03,-3.37,22.75,3
735,BITUSDT,KDAUSDT,-3.76,0.02,-3.37,0.45,3
0,10000NFTUSDT,OCEANUSDT,-3.58,0.03,-3.37,0.02,3
765,BOBAUSDT,ETCUSDT,-3.55,0.03,-3.37,0.01,3
280,AKROUSDT,BNBUSDT,-3.63,0.02,-3.37,0.0,3
1052,DARUSDT,DUSKUSDT,-3.64,0.02,-3.37,1.44,3
887,C98USDT,MASKUSDT,-4.21,0.0,-3.37,0.07,3
1738,MTLUSDT,OPUSDT,-4.71,0.0,-3.37,0.7,3
163,1INCHUSDT,STMXUSDT,-3.51,0.03,-3.37,106.05,3
134,1000BTTUSDT,ZECUSDT,-3.85,0.01,-3.37,0.0,3
1731,MTLUSDT,NEARUSDT,-4.23,0.0,-3.37,0.49,3
1596,JASMYUSDT,LTCUSDT,-4.66,0.0,-3.37,0.0,3
149,1000XECUSDT,SHIB1000USDT,-3.42,0.04,-3.37,2.77,3
209,ACHUSDT,FLMUSDT,-3.62,0.02,-3.37,0.11,3
1598,JASMYUSDT,YFIUSDT,-3.58,0.03,-3.37,0.0,3
271,AKROUSDT,AXSUSDT,-3.63,0.02,-3.37,0.0,3
147,1000XECUSDT,NEARUSDT,-3.54,0.03,-3.37,0.02,3
270,AKROUSDT,AVAXUSDT,-3.65,0.02,-3.37,0.0,3
220,ACHUSDT,LOOKSUSDT,-3.64,0.02,-3.37,0.05,3
916,CELRUSDT,FXSUSDT,-4.15,0.0,-3.37,0.0,3
909,CELOUSDT,MASKUSDT,-3.44,0.04,-3.37,0.22,3
746,BLZUSDT,MATICUSDT,-3.57,0.03,-3.37,0.07,3
127,1000BTTUSDT,WOOUSDT,-3.88,0.01,-3.37,0.0,3
940,CHZUSDT,NEARUSDT,-3.42,0.04,-3.37,0.07,3
131,1000BTTUSDT,XTZUSDT,-3.79,0.01,-3.37,0.0,3
1568,INJUSDT,NEARUSDT,-3.72,0.02,-3.37,0.94,3
1755,MTLUSDT,SKLUSDT,-4.63,0.0,-3.37,32.51,3
790,BSVUSDT,CHZUSDT,-3.58,0.03,-3.37,405.27,3
191,ACHUSDT,ALGOUSDT,-3.53,0.03,-3.37,0.04,3
132,1000BTTUSDT,YFIUSDT,-3.85,0.01,-3.37,0.0,3
1776,MTLUSDT,WAVESUSDT,-3.52,0.03,-3.37,0.51,3
1760,MTLUSDT,STMXUSDT,-4.14,0.0,-3.37,188.56,3
1875,QTUMUSDT,SKLUSDT,-3.45,0.04,-3.37,89.2,3
1791,NEARUSDT,SXPUSDT,-4.15,0.0,-3.37,6.79,3
252,AGLDUSDT,API3USDT,-4.0,0.01,-3.37,0.26,2
34,1000BTTUSDT,CELUSDT,-3.37,0.05,-3.37,0.0,2
1100,DENTUSDT,KNCUSDT,-3.37,0.05,-3.37,0.0,2
689,BELUSDT,HNTUSDT,-3.66,0.02,-3.37,0.24,2
997,CRVUSDT,HNTUSDT,-3.55,0.03,-3.37,0.32,2
983,CRVUSDT,DARUSDT,-3.8,0.01,-3.37,4.41,2
493,ANKRUSDT,HNTUSDT,-3.49,0.03,-3.37,0.01,2
1094,DENTUSDT,HNTUSDT,-3.87,0.01,-3.37,0.0,2
1781,MTLUSDT,XNOUSDT,-4.81,0.0,-3.37,1.04,2
253,AGLDUSDT,CKBUSDT,-4.3,0.0,-3.37,114.76,2
723,BICOUSDT,CELUSDT,-4.58,0.0,-3.37,0.49,2
6,1000BTTUSDT,AAVEUSDT,-4.73,0.0,-3.37,0.0,2
290,AKROUSDT,CELUSDT,-3.63,0.02,-3.37,0.01,2
27,1000BTTUSDT,BNBUSDT,-3.75,0.02,-3.37,0.0,1
2102,TRBUSDT,XNOUSDT,-3.89,0.01,-3.37,18.58,1
491,ANKRUSDT,FXSUSDT,-5.11,0.0,-3.37,0.0,1
791,BSVUSDT,DARUSDT,-3.63,0.02,-3.37,347.69,1
1226,FILUSDT,FXSUSDT,-3.63,0.02,-3.37,0.68,1
686,BELUSDT,FXSUSDT,-4.89,0.0,-3.37,0.08,1
894,C98USDT,SOLUSDT,-3.74,0.02,-3.37,0.01,1
130,1000BTTUSDT,XNOUSDT,-3.42,0.04,-3.37,0.0,1
2105,USDCUSDT,WAVESUSDT,-4.52,0.0,-3.37,0.74,1
1092,DENTUSDT,GALUSDT,-3.46,0.04,-3.37,0.0,1
1792,OCEANUSDT,ZENUSDT,-3.74,0.02,-3.37,0.02,1
2056,SFPUSDT,SOLUSDT,-3.44,0.04,-3.37,0.03,1
1063,DARUSDT,ONTUSDT,-3.9,0.01,-3.37,0.78,1
2107,USDCUSDT,YFIUSDT,-4.45,0.0,-3.37,0.0,1
820,BSVUSDT,SOLUSDT,-3.57,0.03,-3.37,3.53,1
994,CRVUSDT,FXSUSDT,-3.75,0.02,-3.37,0.11,1
4,1000BTTUSDT,1000XECUSDT,-3.78,0.01,-3.37,0.03,1
126,1000BTTUSDT,WAVESUSDT,-4.35,0.0,-3.37,0.0,1
35,1000BTTUSDT,CHRUSDT,-3.88,0.01,-3.37,0.01,1
1790,NEARUSDT,SCRTUSDT,-4.35,0.0,-3.37,2.25,1
37,1000BTTUSDT,COMPUSDT,-4.52,0.0,-3.37,0.0,1
839,BTCUSDT,DARUSDT,-3.44,0.04,-3.37,137590.64,1
7,1000BTTUSDT,ADAUSDT,-4.09,0.01,-3.37,0.0,1
677,BELUSDT,DARUSDT,-3.97,0.01,-3.37,3.29,1
619,BALUSDT,SOLUSDT,-3.52,0.03,-3.37,0.44,1
1898,RENUSDT,SOLUSDT,-3.58,0.03,-3.37,0.01,1
601,BAKEUSDT,FXSUSDT,-3.96,0.01,-3.37,0.03,1
1089,DENTUSDT,ETCUSDT,-3.54,0.03,-3.37,0.0,1
1913,REQUSDT,RSRUSDT,-3.4,0.04,-3.37,29.05,1
622,BANDUSDT,DARUSDT,-3.83,0.01,-3.37,11.77,1
1106,DENTUSDT,NEARUSDT,-3.44,0.04,-3.37,0.0,1
1080,DARUSDT,ZRXUSDT,-3.52,0.03,-3.37,0.79,1
1107,DENTUSDT,OCEANUSDT,-3.83,0.01,-3.37,0.0,1
1108,DENTUSDT,OPUSDT,-3.43,0.04,-3.37,0.0,1
800,BSVUSDT,FXSUSDT,-3.65,0.02,-3.37,8.98,1
1077,DARUSDT,TLMUSDT,-3.48,0.03,-3.37,9.85,1
1841,OPUSDT,SXPUSDT,-3.8,0.01,-3.37,4.77,1
1160,DOGEUSDT,SOLUSDT,-3.58,0.03,-3.37,0.01,1
113,1000BTTUSDT,SOLUSDT,-3.62,0.02,-3.37,0.0,1
156,1INCHUSDT,JASMYUSDT,-3.72,0.02,-3.37,113.47,1
144,1000XECUSDT,EGLDUSDT,-4.49,0.0,-3.37,0.0,1
660,BCHUSDT,FXSUSDT,-3.83,0.01,-3.37,21.14,1
1174,DUSKUSDT,ETCUSDT,-3.8,0.01,-3.37,0.0,1
10,1000BTTUSDT,ALPHAUSDT,-3.43,0.04,-3.37,0.01,1
1072,DARUSDT,SCRTUSDT,-3.84,0.01,-3.37,0.2,1
1071,DARUSDT,RUNEUSDT,-3.59,0.03,-3.37,0.09,1
293,AKROUSDT,CKBUSDT,-3.75,0.02,-3.37,1.3,1
1317,FTMUSDT,ZRXUSDT,-3.66,0.02,-3.37,1.37,1
1777,MTLUSDT,WOOUSDT,-4.15,0.0,-3.37,5.47,1
1478,GTCUSDT,MASKUSDT,-3.47,0.04,-3.37,0.59,1
1411,GMXUSDT,RSRUSDT,-4.91,0.0,-3.37,13968.3,1
1657,LINAUSDT,SKLUSDT,-3.9,0.01,-3.37,0.24,1
1420,GMXUSDT,SKLUSDT,-4.87,0.0,-3.37,1948.35,1
1423,GMXUSDT,SOLUSDT,-4.82,0.0,-3.37,3.46,1
351,AKROUSDT,MASKUSDT,-3.64,0.02,-3.37,0.0,1
350,AKROUSDT,MANAUSDT,-3.63,0.02,-3.37,0.01,1
262,AKROUSDT,ALPHAUSDT,-3.63,0.02,-3.37,0.04,1
712,BELUSDT,SKLUSDT,-5.03,0.0,-3.37,18.78,1
1465,GRTUSDT,SOLUSDT,-3.52,0.03,-3.37,0.0,1
1597,JASMYUSDT,LUNA2USDT,-4.66,0.0,-3.37,0.0,1
1942,RNDRUSDT,SKLUSDT,-4.21,0.0,-3.37,19.34,1
278,AKROUSDT,BITUSDT,-3.63,0.02,-3.37,0.01,1
72,1000BTTUSDT,JASMYUSDT,-3.8,0.01,-3.37,0.18,1
1944,RNDRUSDT,SOLUSDT,-3.4,0.04,-3.37,0.03,1
334,AKROUSDT,JASMYUSDT,-3.68,0.02,-3.37,0.89,1
40,1000BTTUSDT,DARUSDT,-4.07,0.01,-3.37,0.01,1
89,1000BTTUSDT,OCEANUSDT,-3.44,0.04,-3.37,0.0,1
323,AKROUSDT,FXSUSDT,-3.64,0.02,-3.37,0.0,1
322,AKROUSDT,FTMUSDT,-3.63,0.02,-3.37,0.01,1
87,1000BTTUSDT,NEARUSDT,-4.02,0.01,-3.37,0.0,1
1519,HOTUSDT,SOLUSDT,-3.58,0.03,-3.37,0.0,1
944,CKBUSDT,CVXUSDT,-3.95,0.01,-3.37,0.0,1
315,AKROUSDT,ETCUSDT,-3.63,0.02,-3.37,0.0,1
726,BICOUSDT,FLOWUSDT,-3.6,0.02,-3.37,0.4,1
291,AKROUSDT,CHRUSDT,-3.64,0.02,-3.37,0.03,1
945,CKBUSDT,SUNUSDT,-4.74,0.0,-3.37,0.46,1
303,AKROUSDT,DASHUSDT,-3.63,0.02,-3.37,0.0,1
302,AKROUSDT,DARUSDT,-3.63,0.02,-3.37,0.03,1
80,1000BTTUSDT,LTCUSDT,-3.86,0.01,-3.37,0.0,1
82,1000BTTUSDT,MANAUSDT,-4.15,0.0,-3.37,0.0,1
358,AKROUSDT,OCEANUSDT,-3.65,0.02,-3.37,0.02,1
699,BELUSDT,OPUSDT,-4.1,0.01,-3.37,0.41,1
1394,GMXUSDT,NEARUSDT,-4.85,0.0,-3.37,29.46,1
757,BNBUSDT,ETCUSDT,-3.54,0.03,-3.37,14.52,1
41,1000BTTUSDT,DASHUSDT,-4.36,0.0,-3.37,0.0,1
402,AKROUSDT,XTZUSDT,-3.64,0.02,-3.37,0.0,1
400,AKROUSDT,XNOUSDT,-3.62,0.02,-3.37,0.0,1
45,1000BTTUSDT,DOTUSDT,-3.91,0.01,-3.37,0.0,1
395,AKROUSDT,WAVESUSDT,-3.64,0.02,-3.37,0.0,1
988,CRVUSDT,ETCUSDT,-3.43,0.04,-3.37,0.03,1
1314,FTMUSDT,SXPUSDT,-3.47,0.03,-3.37,1.02,1
946,CKBUSDT,TRXUSDT,-4.12,0.0,-3.37,0.04,1
51,1000BTTUSDT,ETCUSDT,-4.0,0.01,-3.37,0.0,1
843,BTCUSDT,FXSUSDT,-4.83,0.0,-3.37,3554.63,1
1319,FXSUSDT,HOTUSDT,-3.45,0.04,-3.37,3233.75,1
52,1000BTTUSDT,ETHUSDT,-3.99,0.01,-3.37,0.0,1
1325,FXSUSDT,RUNEUSDT,-4.27,0.0,-3.37,3.55,1
1758,MTLUSDT,SOLUSDT,-4.16,0.0,-3.37,0.06,1
1328,FXSUSDT,STORJUSDT,-4.0,0.01,-3.37,18.6,1
1918,REQUSDT,SOLUSDT,-3.62,0.02,-3.37,0.01,1
1331,FXSUSDT,ZILUSDT,-3.6,0.02,-3.37,283.71,1
57,1000BTTUSDT,FXSUSDT,-4.16,0.0,-3.37,0.0,1
379,AKROUSDT,SOLUSDT,-3.63,0.02,-3.37,0.0,1
1751,MTLUSDT,SANDUSDT,-4.29,0.0,-3.37,1.68,1
374,AKROUSDT,SANDUSDT,-3.65,0.02,-3.37,0.01,1
1366,GMXUSDT,IMXUSDT,-4.89,0.0,-3.37,103.6,1
1733,MTLUSDT,OCEANUSDT,-4.99,0.0,-3.37,3.99,1
1371,GMXUSDT,JASMYUSDT,-4.99,0.0,-3.37,12084.94,1
363,AKROUSDT,OPUSDT,-3.62,0.02,-3.37,0.0,1
2011,RSS3USDT,XNOUSDT,-5.73,0.0,-3.37,0.16,1
1926,REQUSDT,WAVESUSDT,-4.13,0.0,-3.37,0.06,1
94,1000BTTUSDT,OPUSDT,-3.96,0.01,-3.37,0.0,1
2007,RSS3USDT,WOOUSDT,-4.42,0.0,-3.37,0.82,1
874,BTCUSDT,WAVESUSDT,-4.09,0.01,-3.37,12379.14,1
